disease_id,disease_key,disease_name,category,training_records,dataset_top_symptoms,self_care_level,safe_self_care_draft,avoid_or_caution,when_to_seek_medical_care,general_emergency_warning_signs,medlineplus_lookup_url,nhs_lookup_url,review_status,validation_note
11,appendicitis,Appendicitis,Digestive / hepatobiliary,808,decreased appetite (62%); burning abdominal pain (53%); lower abdominal pain (53%); vomiting (51%); nausea (51%); stomach bloating (51%); fever (51%); upper abdominal pain (51%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=appendicitis,https://www.nhs.uk/search/results/?q=appendicitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
12,arthritis_of_the_hip,Arthritis Of The Hip,Musculoskeletal / neurologic,1210,pelvic pain (53%); knee pain (51%); ache all over (51%); groin pain (51%); hip stiffness or tightness (51%); problems with movement (50%); hip pain (50%); back pain (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=arthritis+of+the+hip,https://www.nhs.uk/search/results/?q=arthritis+of+the+hip,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
13,asthma,Asthma,Respiratory / ENT,814,coughing up sputum (63%); nasal congestion (54%); cough (53%); allergic reaction (52%); difficulty breathing (51%); wheezing (51%); fever (51%); coryza (51%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=asthma,https://www.nhs.uk/search/results/?q=asthma,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
14,benign_prostatic_hyperplasia_bph,Benign Prostatic Hyperplasia (Bph),Urinary / reproductive / pregnancy,1206,symptoms of prostate (52%); frequent urination (52%); blood in urine (51%); impotence (50%); symptoms of bladder (50%); low urine output (50%); swelling of scrotum (50%); pain in testicles (50%),Supportive self-care may help symptoms,"Maintain hydration when not medically restricted, avoid irritating scented products, wear breathable clothing, and track symptoms. Pregnancy, urinary, pelvic, or persistent vaginal symptoms require professional evaluation rather than home treatment alone.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=benign+prostatic+hyperplasia+%28bph%29,https://www.nhs.uk/search/results/?q=benign+prostatic+hyperplasia+%28bph%29,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
15,brachial_neuritis,Brachial Neuritis,Musculoskeletal / neurologic,824,elbow pain (64%); neck pain (53%); low back pain (52%); paresthesia (52%); back pain (52%); shoulder pain (50%); hand or finger pain (50%); hand or finger weakness (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=brachial+neuritis,https://www.nhs.uk/search/results/?q=brachial+neuritis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
16,bursitis,Bursitis,Musculoskeletal / neurologic,1208,elbow swelling (53%); knee pain (52%); hip pain (51%); arm swelling (51%); arm pain (51%); elbow pain (51%); arm stiffness or tightness (51%); knee swelling (50%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=bursitis,https://www.nhs.uk/search/results/?q=bursitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
17,carpal_tunnel_syndrome,Carpal Tunnel Syndrome,Musculoskeletal / neurologic,819,elbow pain (65%); loss of sensation (53%); wrist swelling (52%); neck pain (52%); wrist pain (52%); paresthesia (52%); arm pain (51%); arm weakness (51%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=carpal+tunnel+syndrome,https://www.nhs.uk/search/results/?q=carpal+tunnel+syndrome,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
18,cholecystitis,Cholecystitis,Digestive / hepatobiliary,1204,vomiting (52%); back pain (52%); side pain (52%); sharp abdominal pain (51%); burning abdominal pain (51%); regurgitation.1 (51%); symptoms of the kidneys (51%); lower body pain (50%),Prompt medical evaluation,"Use only supportive measures while arranging prompt professional care: rest, adequate fluids when safe, monitor symptoms, and avoid unprescribed antibiotics or other medicines.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Contact a healthcare professional promptly, ideally the same day, or sooner if symptoms are worsening.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=cholecystitis,https://www.nhs.uk/search/results/?q=cholecystitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
19,chronic_back_pain,Chronic Back Pain,Musculoskeletal / neurologic,805,back cramps or spasms (64%); side pain (53%); low back pain (52%); hip pain (51%); back pain (51%); back stiffness or tightness (51%); lower body pain (51%); neck pain (51%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=chronic+back+pain,https://www.nhs.uk/search/results/?q=chronic+back+pain,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
20,chronic_constipation,Chronic Constipation,Digestive / hepatobiliary,827,retention of urine (62%); vomiting (53%); lower abdominal pain (53%); pain of the anus (52%); changes in stool appearance (51%); constipation (51%); blood in stool (51%); rectal bleeding (51%),Supportive self-care may help symptoms,"Drink adequate fluids, use small balanced meals, and avoid foods that clearly worsen symptoms. For constipation, gradually increase fiber and activity when appropriate. Stop self-care and seek medical advice if pain, bleeding, fever, or vomiting occurs.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=chronic+constipation,https://www.nhs.uk/search/results/?q=chronic+constipation,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
21,chronic_obstructive_pulmonary_disease_copd,Chronic Obstructive Pulmonary Disease (Copd),Respiratory / ENT,812,sharp chest pain (66%); coughing up sputum (53%); coryza (53%); cough (53%); nasal congestion (52%); wheezing (51%); fever (50%); congestion in chest (50%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=chronic+obstructive+pulmonary+disease+%28copd%29,https://www.nhs.uk/search/results/?q=chronic+obstructive+pulmonary+disease+%28copd%29,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
22,common_cold,Common Cold,Respiratory / ENT,813,chills (62%); ear pain (54%); headache (53%); cough (52%); fever (52%); flu-like syndrome (51%); vomiting (51%); coryza (51%),Supportive self-care may help symptoms,"Rest, drink adequate fluids, use clean humidified air, avoid smoke and other triggers, and practice hand hygiene. Warm fluids may soothe throat irritation. Follow an existing clinician-approved asthma or COPD action plan when applicable.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=common+cold,https://www.nhs.uk/search/results/?q=common+cold,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
23,complex_regional_pain_syndrome,Complex Regional Pain Syndrome,Musculoskeletal / neurologic,1217,back pain (53%); foot or toe pain (52%); neck pain (52%); arm pain (51%); leg pain (51%); hand or finger pain (50%); paresthesia (50%); low back pain (49%),Supportive self-care may help symptoms,"Modify activities that worsen pain. For a recent minor injury, use brief rest, cold packs wrapped in cloth, compression when appropriate, and elevation. For chronic pain, gentle movement and clinician-guided exercises are generally preferred over prolonged bed rest.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=complex+regional+pain+syndrome,https://www.nhs.uk/search/results/?q=complex+regional+pain+syndrome,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
24,concussion,Concussion,Other clinical condition,1191,nausea (53%); headache (52%); disturbance of memory (51%); double vision (51%); back pain (51%); facial pain (51%); sleepiness (51%); rib pain (50%),Emergency evaluation,"Do not rely on home remedies. Arrange emergency assessment now. Keep the person safe, avoid food or drink if a procedure may be needed, and follow emergency-service instructions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.",Seek emergency care immediately; do not wait for symptoms to improve at home.,"Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=concussion,https://www.nhs.uk/search/results/?q=concussion,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
25,conjunctivitis,Conjunctivitis,Eye,825,sore throat (62%); pain in eye (53%); coryza (52%); swollen eye (52%); cough (52%); eye redness (52%); itchiness of eye (52%); fever (50%),Supportive self-care may help symptoms,"Use clean hands, avoid rubbing the eyes, do not share towels or cosmetics, and avoid contact lenses until symptoms resolve or a clinician advises otherwise. A clean cool compress may reduce irritation.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=conjunctivitis,https://www.nhs.uk/search/results/?q=conjunctivitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
26,conjunctivitis_due_to_allergy,Conjunctivitis Due To Allergy,Eye,1215,eye redness (52%); sneezing (52%); itchiness of eye (52%); nasal congestion (51%); symptoms of eye (51%); lacrimation (51%); pain in eye (51%); swollen eye (50%),Supportive self-care may help symptoms,"Use clean hands, avoid rubbing the eyes, do not share towels or cosmetics, and avoid contact lenses until symptoms resolve or a clinician advises otherwise. A clean cool compress may reduce irritation.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=conjunctivitis+due+to+allergy,https://www.nhs.uk/search/results/?q=conjunctivitis+due+to+allergy,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
27,contact_dermatitis,Contact Dermatitis,Skin / dermatologic,823,"skin moles (64%); allergic reaction (54%); itching of skin (51%); skin irritation (51%); skin dryness, peeling, scaliness, or roughness (50%); skin swelling (50%); abnormal appearing skin (50%); skin lesion (50%)",Supportive self-care may help symptoms,"Keep the area clean and dry, avoid scratching and known irritants, use fragrance-free skin products, and protect affected skin from excessive sun or friction. Do not cut, squeeze, or burn lesions.","Do not use leftover prescription medicines, antibiotics, steroids, or herbal products without advice from a licensed clinician or pharmacist.","Arrange medical review if symptoms are severe, persistent, recurrent, worsening, or not improving with reasonable supportive care.","Trouble breathing; chest pain or pressure; fainting; sudden confusion; severe weakness; heavy bleeding; coughing or vomiting blood; seizure; blue, gray, or very pale lips/skin; severe or rapidly worsening pain",https://medlineplus.gov/search/?query=contact+dermatitis,https://www.nhs.uk/search/results/?q=contact+dermatitis,Needs clinical review,"Symptoms are derived from the uploaded training CSV. Guidance is a conservative, source-backed draft and must be reviewed by a licensed healthcare professional before production use."
